net,length_um
ram\[10\]\[3\],8.7
net43,8.7
_0383_,8.685
ram\[16\]\[6\],8.68
_1366_,8.66
_1226_,8.6
net457,8.6
_0657_,8.58
_1178_,8.56
_1299_,8.56
_1399_,8.56
ram\[53\]\[1\],8.56
ram\[5\]\[5\],8.56
_0052_,8.525
_0703_,8.52
_0942_,8.52
_1131_,8.52
_1426_,8.52
_1504_,8.52
_1696_,8.52
ram\[53\]\[4\],8.52
net118,8.52
_1065_,8.5
_0949_,8.48
_1270_,8.48
_1360_,8.48
_1669_,8.48
net221,8.48
_0583_,8.44
_1545_,8.44
_1678_,8.44
_1015_,8.4
_1496_,8.36
_1642_,8.36
ram\[33\]\[3\],8.36
net116,8.36
_1272_,8.34
net69,8.34
ram\[26\]\[5\],8.33
_0101_,8.325
ram\[12\]\[3\],8.32
ram\[28\]\[4\],8.32
ram\[45\]\[0\],8.32
ram\[53\]\[0\],8.32
ram\[60\]\[7\],8.32
_1661_,8.3
